Ranking;Nombre;NIF;patentes;ano_constitucion;poblacion;comarca;sector_amigable;grupo_empresarial;rol_en_grupo;ventas_confianza;empleados_numero;empleados_fuente;ceo_actual;ventas_reales;ventas_fuente;inversores_capital_privado;usa_ia;ia_detalle;stack_nivel;stack_detalle;equipo_tech_estimacion;roles_tech_detectados;pct_exportacion;inversion_id;mercado_b2b_b2c;posicion_mercado;producto_propio;mercado_cotizacion;tipologia_propiedad;taxonomia_confianza;taxonomia_razonamiento;rol_ecosistema;rol_ecosistema_confianza;rol_ecosistema_razonamiento;es_campeona_oculta
1;CONSTRUCCIONES Y AUXILIAR DE FERROCARRILES, SA;A20001020;53;1917;Beasain;Goierri;Transporte;;independiente;media;5000;Empresite (año 2025) - entidad local Beasain;Andrés Arizkorreta García;4487000000.0;Consenso del Mercado / Norbolsa (FY2024, +10% vs 2023);No identificados PE/VC tradicionales. Estructura accionarial basada en capital social vasco (cajas de ahorros, trabajadores, family offices vascos implícitos en Danimar y Global Portfolio). Kutxabank (caja vasca, 19,6%), BBK Gestión (gestor vasco);Sí;"Plataforma Digital de CAF para análisis de fiabilidad de modelos digitales; sistemas de Automatic Train Operation (ATO) con IA integrada en soluciones de señalización (ERTMS/ETCS); validación de CBTC (Comunicaciones Basadas en Tráfico) sobre 5G privado (sistema OPTIO); analítica predictiva en mantenimiento de flotas; computer vision en sistemas de control automático de trenes; IA generativa (IBM watsonx Assistant, watsonx Discovery, watsonx.ai) para agilizar acceso a información ERTMS; digitalización 3D de infraestructura ferroviaria con escaneo móvil; machine learning para mantenimiento predictivo con gemelos digitales; simuladores con computer vision para reconocimiento de entornos; reconocimiento biométrico en control de acceso";Avanzado;"Cloud: AWS (IoT Core, S3, Lambda, EC2), Azure; ERP: SAP; CRM: Salesforce; Desarrollo: Java, Python, C++; Plataforma Digital propia CAF; Sistemas de señalización: ERTMS/ETCS, ATO GoA4, CBTC; BD: PostgreSQL, Oracle, sistemas propios; DevOps: Docker, Kubernetes, Jenkins; BI: Tableau; Integración: APIs REST; Ciberseguridad: SIL4-certified systems; Plataforma NAOS (control centralizado de tráfico); Enclavamientos electrónicos QUASAR S4e/Q4; Sistema OPTIO (CBTC con ATP/ATO/ATS); Diseño: Dassault Systèmes 3DExperience, CATIA Transportation Designer, SolidWorks; PLM: Siemens NX; Plataforma LeadMind propia; Software GEMSYS y Hermes";grande (>20);Software Engineer, Cloud Engineer, Product Manager, Ingeniero de Sistemas, Especialista en Señalización, Desarrollador Python/Java, Arquitecto de Soluciones, Data Scientist, Power Electronics Engineer, Control Systems Engineer, Communications Engineer, HMI Developer, DevOps Engineer, Cybersecurity Specialist, BID Manager Señalización, Ingenieros Informática/Telecomunicaciones/Electrónica/Mecánica, especialistas en ERTMS, ingenieros de sistemas embarcados, especialistas en IoT/Industria 4.0, especialistas en modelado matemático, desarrolladores de software de simulación;100;"Centro I+D propio en Beasain desde 1969; Proyectos Horizon Europe (FCH2Rail - tren de hidrógeno 2024); Proyectos europeos CDTI; Inversión estimada 5-7% sobre ventas en innovación sostenible; 60+ proyectos de fabricación y rehabilitación en ingeniería; Centro I+D en Donostia-San Sebastián; Laboratorio de vanguardia para investigación y pruebas; Colaboraciones en proyectos de innovación: semiconductores SiC con EUSKOTREN e IKERLAN; Participación en programa Hazitek (Gobierno Vasco + UE, FEDER 2021-2027); Presencia internacional con 50+ representantes comerciales; Proyectos en 30+ países; Pertenencia a Red Vasca de Ciencia y Tecnología; Centro I+D en Parque Tecnológico de Miramón";B2B;Mundial;Sí, plataforma completa: trenes de alta velocidad, metros, tranvías (Urbos - 1.000 unidades producidas en 2025), autobuses eléctricos e hidrógeno (Solaris Bus & Coach), sistemas de señalización (ERTMS/ETCS/ATO/CBTC), bogies, ejes de ancho variable, sistemas de tracción, soluciones integrales de movilidad, simuladores de conducción, plataforma LeadMind para gestión inteligente de flotas ferroviarias;Mercado Continuo;Propiedad participativa de trabajadores;alta;Cartera Social S.A. (sociedad instrumental de trabajadores) posee 29,56% >15% del capital de CAF. Kutxabank 19,6% es accionista institucional minoritario que no define la categoría. Aplica categoría 9 según regla de prelación de propiedad participativa de trabajadores.;Campeona visible;alta;CAF está confirmada como campeona famosa. 4.212M€ de ventas, 4.532 empleados, líder mundial en material ferroviario, propiedad vasca participativa, 80% exportación, 37 patentes. Supera con creces el umbral de campeona famosa por escala y visibilidad. Aunque cumple muchos criterios INML (B2B, fabricante, exporta >50%, I+D alto, producto propio, propiedad vasca), su tamaño y notoriedad la sitúan en campeona famosa, no oculta.;
2;ESERGUI (AVIA);A20072070;0;1981;Donostia-San Sebastián;Donostialdea;Comercio al por mayor;;independiente;alta;525;AVIA Energías web corporativa + prensa 2024;Aitor Egurrola (Director General);1114000000;Empresite/ElEconomista 2024 (cifra consolidada grupo);Sociedad de capital riesgo propia para inversión en startups energéticas. Financiación COFIDES para expansión internacional (México). Participante en aceleradora del Gobierno Vasco.;Sí;Plan de digitalización e IA con inversión estimada de 25-50M€. Foco en inteligencia artificial y plataformas digitales para venta y suministro. Colaboración con centros tecnológicos en soluciones de distribución de última milla. Proyecto iAVIA (Estación del Futuro).;Avanzado;Terminal de almacenamiento Puerto de Bilbao totalmente automatizada (45.000 m², 220M litros). App móvil AVIA (iOS/Android). Club AVIA con 300.000+ socios fidelizados. Plan de digitalización de red de 150 EESS y 34 gasocentros. Infraestructura de carga para vehículo eléctrico en desarrollo.;medio (5-20);Alfonso G. (Director de Sistemas);5;Plan estratégico con inversión 25-50M€ en tecnología y diversificación energética. Proyecto iAVIA (Estación del Futuro). Inversión en producción de bioetanol. Expansión internacional México (COFIDES). Ampliación y digitalización terminal Puerto de Bilbao.;Mixto;Nacional;Sí, marca AVIA con red propia de 150 estaciones de servicio en España y Portugal, 34 gasocentros, terminal de almacenamiento propio en Puerto de Bilbao, lubricantes marca AVIA. Operador multienergía desde 2012: GLP, GNV, pellets biomasa, biocombustibles HVO.;No cotiza;Cooperativa independiente — Gran grupo;alta;Sociedad anónima con estructura cooperativa de hecho: accionariado compuesto por propietarios de estaciones de servicio que participan conjuntamente en la toma de decisiones. Portal web exclusivo para accionistas. NIF tipo A (SA) pero funciona como cooperativa de empresarios. 525 empleados, 1.114M€ facturación consolidada 2024. Presidente: Xabier Garmendia (desde 2015). Director General: Aitor Egurrola.;Campeona visible;alta;6º operador petrolífero nacional por volumen de ventas. 2ª empresa guipuzcoana por facturación. 150 EESS, 34 gasocentros, terminal propia en Bilbao (220M litros). 1.114M€ facturación consolidada, 525 empleados. Cooperativa de empresarios con marca propia AVIA. Miembro de AVIA International (3.000+ EESS en 15 países europeos). Cumple criterios Campeona visible: vasca + producto propio + >100M€.;False
3;ARCELORMITTAL OLABERRIA-BERGARA SL.;B20435301;0.0;1992;Olaberria;Goierri;Siderurgia y metalurgia;;independiente;alta;535.0;eInforma (año 2024, actualizado 28/01/2026);;811806000.0;"Ranking Empresas El Economista (año 2023); eInforma confirma variación -0.29% en 2024";;Sí;Proyecto H-Acero (presupuesto 5,2M€, financiado por SPRI Hazitek): investigación en uso intensivo de hidrógeno para descarbonización. Proyecto de inteligencia artificial generativa para control preventivo y predictivo de procesos industriales (línea de galvanizado), con colaboración Universidad de Oviedo. IA generativa como agente predictivo que aprende de datos operativos y simulaciones de gemelo digital para anticipar problemas y optimizar eficiencia energética.;Avanzado;Grupo ArcelorMittal: ERP SAP, CRM Salesforce, Office 365. Nivel avanzado: cloud (AWS, Azure), big data, IoT industrial, digital twin, machine learning, deep learning para control de procesos, gemelo digital, DevOps, microservicios. Centro Global R&D Spain integra Digitalización, Tecnologías de Proceso y Producto, Fabricación Aditiva, Descarbonización y Sostenibilidad.;medio (5-20);"Centro Global R&D Spain con 56 investigadores en Asturias; equipo multidisciplinar (informáticos, ingenieros, economistas). Olaberria-Bergara integrada en red de I+D global con especialización en digitalización y control de procesos.";;Inversión I+D significativa: Grupo ArcelorMittal gastó ~300M€ en 2023 en I+D global. Centro Global R&D Spain con sedes en Avilés, Gijón, Sestao y Madrid. Proyectos europeos Horizon Europe, SPRI Hazitek, Fondo de Transición Justa (FTJ). Olaberria recibió 7M€ en ayudas públicas 2023 para compensar emisiones indirectas GEI.;B2B;Europeo;Sí, perfiles estructurales de acero laminado en caliente (IPE, HE, IPN, UPN, HLZ, HL, HD, UPE) en múltiples dimensiones y calidades (S235JR, S275JR, S355JR, S355J2, Histar 460). Productos XCarb® reciclado y producido con energía renovable (CO2: 0,33 ton/ton acero). Destino: construcción de edificios, puentes, industria naval, calderería.;No cotiza;Filial de multinacional extranjera;alta;Accionista único: ArcelorMittal Long Products Europe Holding SARL, filial de ArcelorMittal con sede en Luxemburgo. Control 100% por matriz extranjera.;Resto del tejido empresarial;alta;Filial 100% de ArcelorMittal (multinacional luxemburguesa-india). Dos plantas en Gipuzkoa (Olaberria y Bergara), 535 empleados, ~812M€ de ventas. Gran empleador industrial que tira del ecosistema siderúrgico local. Confirmado en ejemplos del sistema.;
6;DACHSER SPAIN SA.;A20006607;0.0;1956;Donostia-San Sebastián;Donostialdea;Logística y almacenamiento;;independiente;alta;2070.0;Axesor (2025) - entidad local DACHSER SPAIN SA en Gipuzkoa;Celestino Silva;445441255.0;Ranking Empresas El Economista 2023 (datos más recientes disponibles);;Sí;Gemelo digital @ILO: mapeo automático en tiempo real de bultos, activos y procesos en terminales de tránsito usando computer vision (escaneo óptico de códigos Datamatrix). Seguimiento en vivo de cajas móviles con GPS y telemática 5G/LPWAN. Plataforma smapOne para digitalización de procesos. Soluciones de IA para optimización de rutas y predicción de tiempos de llegada. Reconocimiento óptico automático en entrada/salida de almacenes.;Avanzado;Desarrollo propio: Mikado (software de gestión de almacenes desarrollado internamente por equipos IT de DACHSER). Unidad Ejecutiva de TI y Desarrollo (ITD) con capacidad de desarrollo a medida. Plataforma DACHSER (interfaz digital unificada para sea/air/road). Tecnologías: GPS, telemática 5G/LPWAN, computer vision, escaneo óptico, EDI (Electronic Data Interchange), plataformas low-code/no-code. Infraestructura: 396 ubicaciones globales, red europea integrada. Metodología: Agile y customer-centric (reemplazo del waterfall method).;grande (>20);Department Head IT Strategy Implementation, especialistas en TI y Desarrollo, responsables de digitalización, project managers tech (Isabel Padilla - DACHSER Iberia), desarrolladores de software, especialistas en telemática y GPS, ingenieros de sistemas.;"Alto (actividad internacional de importación/exportación confirmada; North Business Area gestionó 3,8 millones de expediciones en 2024; presencia en 44 países con 396 ubicaciones globales)";Unidad Ejecutiva de TI y Desarrollo (ITD) propia. Proyectos de innovación: gemelo digital @ILO (colaboración Fraunhofer IML, Premio Alemán de Logística 2023 + Premio ELA 2025), plataforma DACHSER, soluciones telemáticas, distribución urbana sostenible, sistemas de transporte corta distancia, energías renovables. Programa Idea2net con 149 contactos locales en 23 países. Inversión en digitalización, automatización y sostenibilidad confirmada en reportes corporativos.;B2B;Europeo;Sí, servicios logísticos integrados propios: DACHSER European Logistics (transporte terrestre), DACHSER Air & Sea Logistics (transporte aéreo/marítimo), DACHSER Food Logistics (logística alimentaria), DACHSER Cargoplus (grupaje), Contract Logistics (almacenaje integrado), soluciones telemáticas propias, plataforma digital DACHSER, gemelo digital @ILO, software Mikado. Posición: 2ª en ranking sectorial Gipuzkoa (Actividades anexas transporte terrestre), 6ª en ranking provincial, 581ª nacional.;No cotiza;Filial de multinacional extranjera;alta;Controlada 100% por DACHSER Group SE & Co. KG, empresa familiar alemana con sede en Alemania (fuera de España). Control total por matriz extranjera.;Resto del tejido empresarial;alta;Filial 100% del grupo familiar alemán DACHSER. 2.070 empleados y 445M€ de ventas en España, con sede relevante en Gipuzkoa. Operador logístico global de primer nivel que tira del ecosistema local. Propiedad extranjera (alemana), no vasca.;
8;IPARLAT SA;A31003031;4;1953;Urnieta;Donostialdea;Industria alimentaria;;independiente;alta;500.0;SPRI (Grupo SPRI) - datos de entidad local Urnieta;Ángel María Gil Castresana;410200000.0;Mundo Lácteo 2024 (cifra de negocio 2024: 410,2 millones €);Kaiku Corporación Alimentaria (Grupo Emmi, Suiza) - 9,64% del capital. Gobierno Vasco (Instituto Vasco de Finanzas) - 17% directo. Caja Rural de Navarra - 20%. Ekarpen Private Equity (fondo vasco, participación histórica sustituida por IVF);Sí;Programa Hazinnova (SPRI): investigación en proteínas alternativas (proteína de insecto) con análisis de hábitos de consumo mediante estudios a consumidores. Gestión basada en datos cuantificables y procesos analíticos avanzados. Programa 'Future Food by Iparlat' para startups en digitalización e innovación. Centro I+D propio acreditado como agente RVCTI;Avanzado;Tecnología UHT (Ultra High Temperature) en plantas de producción. Sistemas de envasado Tetra Edge de última generación. Automatización logística: almacenes automáticos con transelevadores, software Easy WMS de Mecalux. Sistema SCADA WinCC TIA-PORTAL para servicios auxiliares. MES (Manufacturing Execution System). Trazabilidad FIFO. Colaboración con centros tecnológicos (AINIA, AZTI-Tecnalia, CSIC, CNTA, AIMPLAS, universidades);medio (5-20);Director Técnico (Esteban Robles), Técnico de sistemas superior/medio, Analista de sistemas, Analista Programador, Programador, Operador de Informática, Técnico de I+D, Técnico de Control, Técnico de Laboratorio, roles en innovación y mejora continua;40;Inversión en I+D: 10 millones € en 2024 para modernización planta Urnieta (5 nuevas líneas Tetra Edge). 20 millones € en planta Natur All (Corella). 10 millones € en 2019 para nuevas líneas envasado. 3 millones € anuales previstos 2024+. Programa Hazinnova con SPRI. Centro I+D propio acreditado. Participación en proyectos europeos (ICEX-Brexit). Colaboración con universidades (Mondragon, Deusto, IED Kunsthal). Programa Lehiatu (Gobierno Vasco) con ayudas FEADER;B2B;Nacional;Sí, marcas propias: Esnelat (leche UHT), Natur All (bebidas vegetales), Andía Lácteos (productos en botella PET), Lactiber (producción láctea). También proveedor especialista de marca blanca Hacendado para Mercadona desde 2004;No cotiza;Cooperativa independiente — Gran grupo;media;Grupo controlado por Cooperativa Kaiku (51%) que es entidad cooperativa vasca de ganaderos (origen 1953), no integrada en Mondragón. Ventas superiores a 400M€ califican como Gran grupo. Kaiku Corporación Alimentaria (Grupo Emmi suizo) tiene solo 9,64%, por debajo del 20% que activaría categoría de control extranjero. La estructura cooperativa mayoritaria prevalece sobre participaciones minoritarias del Gobierno Vasco (17%) y Caja Rural de Navarra (20%);Campeona visible;alta;Cooperativa vasca líder nacional en lácteos con 410M€ de ventas y 500 empleados. Referente en tecnología UHT y marca blanca para Mercadona. Propiedad mayoritariamente cooperativa vasca con arraigo desde 1953. No cumple criterios INML: no lidera nicho mundial específico, exporta solo 40%, mercado B2B pero en sector commoditizado. Por tamaño, arraigo vasco y relevancia sectorial encaja como campeona famosa, aunque su visibilidad pública es limitada;
10;AYESA IBERMATICA SA.;A20038915;0.0;1973;Donostia-San Sebastián;Donostialdea;Tecnologías de la información;;independiente;alta;3626.0;eInforma (27/02/2026) - entidad local Gipuzkoa;José Luis Manzanares;281483377.0;eInforma 2024 (crecimiento 7.69% respecto 2023);Consorcio vasco desde 31/12/2025: Indar Kartera (Kutxabank), Fundación BBK, Gobierno Vasco (Finkatuz), Teknei. Anteriormente: A&M Capital Europe (PE, 67%), ProA Capital (histórico, >50% en 2013).;Sí;"Machine learning ético en datos sanitarios (proyecto AISym4Med con BioBizkaia); IA para nutrición personalizada y análisis de datos deportivos (Basque Culinary Center); mantenimiento predictivo en parques eólicos (Big Data + Machine Learning); IA generativa en procesos de compras (Iberdrola); ciberseguridad con IA en SOC de Donostia; analítica avanzada y deep learning; NLP para troubleshooting; IA cuántica para simulación (IAC4SIM); soluciones cloud e IA (Emergya, partner Google); 27 casos de uso IA en construcción (proyecto ER(AI)KIN con Build:Inn Cluster); gemelos digitales de pacientes con IA para diagnóstico médico; datos sintéticos con privacidad GDPR; algoritmos de IA para optimización de cadenas de suministro; plataformas de IA como Ayesa Pilot.";Avanzado;Cloud: AWS, Azure (partner estratégico Microsoft), Google Cloud (Emergya partner), Oracle Cloud. ERP: SAP, Microsoft Dynamics 365 Finance & Supply Chain Management. CRM: Salesforce. Dev: Java, Python, React Native. BD: PostgreSQL, DynamoDB, IBM InfoSphere. DevOps: Jenkins, Docker, Kubernetes. BI: Tableau, Power BI, IBM Analytics. IA/ML: TensorFlow, Watson Studio, IBM ICP. Tecnologías emergentes: machine learning, deep learning, NLP, RPA, analítica avanzada, digital twin, IoT industrial, Industria 4.0, Quantum Computing, Blockchain. Frameworks: Apache Storm, Kafka. Infraestructura: Parque Tecnológico Gipuzkoa (Donostia), Derio (Bizkaia).;grande (>20);Software Engineer, Cloud Engineer, Product Manager, Data Engineer, Machine Learning Engineer, DevOps Engineer, Cybersecurity Specialist, AI/ML Researcher, AI/ML Specialist, especialistas en Quantum Computing, Blockchain, Data Science. Directora Global I+D+i: Itziar Cuenca.;85;Centro I+D propio (Instituto i3B de Innovación en Donostia y Derio). Presupuesto innovación 2025: 4-5% sobre ingresos. Múltiples proyectos Horizon Europe, CDTI, Incibe, Hazitek (Gobierno Vasco). Proyectos activos: SOCIA (ciberseguridad IA), VIDVOLT4.0 (IA agrícola), DataReady4ML (deep learning), INTEGRIA (IA eólica), Argitu ML (herramientas IA industrial), Q4Real (Quantum Computing), AISym4Med. 45+ proyectos I+D+i anuales. Adquisición de Emergya (2024) para reforzar capacidades en IA.;B2B;Nacional;Sí, soluciones propias: IB Building 365, IB Real Estate 365, plataforma IA mantenimiento eólico, plataforma machine learning nutrición personalizada, SOC (Security Operations Center) Donostia, Ayesa Pilot, Digital Site, plataforma de gemelos digitales para sanidad (NEUROQIA), plataforma Blockchain para educación, herramientas de innovación (Código Capital Innovación, K2, NLi).;No cotiza;Empresa pública o participada por sector público;alta;Desde 31/12/2025 el accionariado es un consorcio vasco: Indar Kartera (Kutxabank), Fundación BBK, Gobierno Vasco (Finkatuz) y Teknei. El Gobierno Vasco (Finkatuz) participa directamente como accionista público. El consorcio incluye entidades públicas y semipúblicas vascas con control conjunto. Anteriormente controlada por PE (A&M Capital Europe 67%), pero la situación actual refleja control por instituciones públicas/semipúblicas vascas.;Campeona visible;alta;Ibermática es referente histórico del ecosistema TIC vasco, ahora integrada en Ayesa Digital. 3.626 empleados, 281M€ (grupo Ayesa: 569M€, 11.000 empleados), 85% exportación, 4-5% I+D. Propiedad vasca (consorcio Kutxabank, BBK, Gobierno Vasco, Teknei desde 31/12/2025). Referente por escala, marca y visibilidad en el ecosistema vasco, top 5 en España y top 50 ingenierías mundiales. Perfil de campeona famosa por tamaño y notoriedad, reancla al ecosistema vasco tras la reciente transición de propiedad.;
14;INGETEAM INDAR MACHINES SA.;A20597993;1.0;1997;Beasain;Goierri;Material y equipo eléctrico;Grupo Ingeteam;filial;alta;810.0;eInforma (17/02/2026) - entidad local Beasain, no grupo global;Adolfo Rebollo;238753159.0;"Ranking Empresas 2023: 214.753.159€; crecimiento 11,27% en 2024 = ~238.753.159€";;Sí;"Analítica predictiva en mantenimiento de máquinas eléctricas; optimización de diseño de generadores mediante machine learning; sistemas de control inteligente en convertidores de frecuencia para energías renovables. Evidencia: centro I+D propio en Beasain con laboratorio de ensayos de máquinas eléctricas rotativas (inaugurado 2009, 15.000 m²).";Avanzado;"ERP: SAP (grupo Ingeteam); Cloud: AWS (infraestructura global); Desarrollo: Java, Python, C++ (sistemas embebidos); BD: PostgreSQL, Oracle; DevOps: Jenkins, Docker, Kubernetes; BI: Tableau; CAD/CAM: CATIA, ANSYS (simulación electromagnética); IoT industrial para monitorización de máquinas; sistemas SCADA propios.";grande (>20);Ingeniero/a de Ventas (Motors & Generators), Ingeniero/a Eléctrico (I+D+i en aislamiento eléctrico), Software Engineer, Product Manager, Cloud Engineer - ofertas activas en LinkedIn;85;"Centro I+D propio en Beasain (15.000 m² laboratorio ensayos); grupo Ingeteam destina >5% facturación a I+D anualmente; 11% plantilla grupo dedicada a I+D; proyectos europeos Horizon; laboratorio pionero en Zamudio (electrónica de potencia y máquinas rotativas)";B2B;Europeo;Sí, línea completa Indar: generadores síncronos hasta 100 MVA (hidráulica), motores marinos hasta 15 MW, generadores eólicos hasta 9 MW, motores sumergibles hasta 6,5 MW, bombas motor sumergibles, generadores para gas/vapor/diésel, convertidores de frecuencia, sincronos condensadores. Capacidad instalada global: 69,65 GW (2020). Líder mundial en generadores síncronos de alta potencia.;No cotiza;Empresa familiar — Gran grupo;alta;Controlada 100% por Ingeteam SA, empresa familiar vasca. No hay PE ≥20% identificado. Ventas 238M€ y 810 empleados superan umbrales de Gran grupo. → Empresa familiar — Gran grupo.;Campeona visible;alta;Ingeteam está confirmada como INML por Orkestra. Filial industrial del Grupo Ingeteam (empresa familiar vasca). Líder mundial en generadores síncronos de alta potencia (69,65 GW instalados globalmente). B2B, fabricante, 85% exportación, >5% I+D, producto propio (línea Indar completa), propiedad vasca, alta innovación. 238M€, 810 empleados. Poco conocida fuera del sector energético.;True
15;ANGULAS AGUINAGA SAU;A20922811;15.0;2006;Irura;Tolosaldea;Industria alimentaria;;independiente;alta;623.0;eInforma (12/02/2026) - entidad local Irura;Óscar Vicente-Hernández;210822000.0;"Ranking Empresas El Economista 2023; eInforma confirma descenso 0.53% 2024";"PAI Partners (50.1%, PE francés, fondo PAI Mid Market Fund); Portobello Capital (PE español, 24.95%); familia fundadora (24.95%)";No;;Básico;"ERP: SAP (inferido por tamaño macroempresa); Office 365; sistemas de envasado automatizado (caliente al vacío, atmósfera modificada); código de barras en pescadería; no hay evidencia de cloud nativo, big data, microservicios o BI avanzado";mínimo (<5);;35;"Centro I+D propio en Irura (1er centro innovación País Vasco según web); colaboración histórica CSIC (desarrollo La Gula del Norte 1988-1991); inversión >2M€ en modernización Palencia 2024; ISO 22000 (primera empresa alimentación mundial); innovación continua en productos y procesos";Mixto;Nacional;Sí, múltiples productos propios: La Gula del Norte (sucedáneo angula surimi, patentado), Krissia (palitos cangrejo surimi), Aguinamar (mejillones, pulpo, langostinos, salmón), Royal, Riunione (Italia), Angulas Aguinaga Profesional (Horeca). Líder absoluto 83% gulas refrigeradas, 70% palitos cangrejo;No cotiza;Participada por PE / capital riesgo / family office;alta;PAI Partners (fondo PE francés) posee 50,1% del capital desde noviembre 2020. Portobello Capital (PE español) posee ~24,95%. Múltiples fondos PE con participación ≥20% → categoría 6 prevalece sobre familiar.;Campeona visible;alta;Líder nacional en gulas y surimi (83% cuota gulas refrigeradas), con marcas propias reconocidas (La Gula del Norte, Krissia). 210M€, 623 empleados, 15 patentes. Sin embargo, exporta solo 35%, mercado mixto B2B/B2C, propiedad PE extranjero (PAI Partners 50,1%). No cumple criterios INML (no es líder mundial en nicho, exportación insuficiente, propiedad no vasca mayoritaria). Empresa alimentaria relevante pero sin perfil de campeona del ecosistema vasco.;
16;FAGOR ARRASATE S. COOP.;F20020574;17.0;1957;Arrasate/Mondragón;Alto Deba;Maquinaria y equipo;Grupo Fagor (Mondragón);cooperativa_del_grupo;alta;708.0;eInforma 2025 (16/10/2025) - entidad local Gipuzkoa;Unai López;244400000.0;"RocketReach 2026 (244.4 millones USD convertido a EUR ~230-244M); Grupo Fagor 2023: 1.756M€ consolidado";;Sí;"Participación en proyectos europeos para ciberseguridad de máquinas (protección de infraestructuras ICT complejas contra ciberataques); modelado avanzado y tecnologías de reparación para aumentar disponibilidad de máquinas; software de simulación para optimización de procesos de corte láser";Avanzado;"Desarrollo propio de software de simulación para líneas de corte láser; integración de tecnología láser (partnership con DanobatGroup); sistemas de automatización y control de maquinaria; plataformas de diseño CAD/CAM avanzadas; IoT industrial para monitoreo de máquinas; participación en proyectos Horizon Europe de ciberseguridad industrial";medio (5-20);Ingenieros de software, especialistas en automatización, desarrolladores de simulación, ingenieros de control, especialistas en ciberseguridad industrial;85;"Centro I+D+i propio; participación en múltiples proyectos europeos (Horizon Europe); alianzas con Mondragon Unibertsitatea para investigación; colaboración con IKERLAN (centro tecnológico); inversiones significativas en ampliación de plantas (2024-2025)";B2B;Mundial;Sí, portafolio propio más amplio del mundo en máquinas para conformado de chapa metálica: prensas transfer, líneas de corte longitudinal/transversal, sistemas de estampación completos, líneas de procesamiento de bobinas, sistemas de forja, press hardening, líneas de corte láser (láser blanking);No cotiza;Cooperativa Mondragón;alta;NIF F20 (cooperativa vasca). Miembro fundador de Corporación MONDRAGON, actualmente integrada. Figura en la lista de cooperativas Mondragón conocidas → categoría 3.;Campeona visible;alta;Cooperativa Mondragón, líder mundial en máquinas herramienta por deformación (prensas, líneas de estampación, press hardening). Portafolio más amplio del mundo en conformado de chapa metálica. B2B, fabricante, 85% exportación, 17 patentes, centro I+D propio, colaboración con IKERLAN y Mondragon Unibertsitatea. 244M€, 708 empleados. Propiedad vasca cooperativa. Poco conocida fuera del sector. Cumple todos los criterios INML.;True
18;AMPO S.COOP.;F20027090;7.0;1964;Idiazabal;Goierri;Siderurgia y metalurgia;;independiente;alta;513.0;eInforma 2025 (entidad local Idiazabal);;170000000.0;Noticias de Gipuzkoa 2024 (170 millones €);;No;;Avanzado;Digitalización integral: MES (Manufacturing Execution Systems), Business Intelligence, soluciones ISS (Integrated Smart Solutions) para válvulas inteligentes, herramientas tecnológicas novedosas, plan de ciberseguridad. Desarrollo propio de software para diseño y simulación CFD de recubrimientos. Bancos de pruebas de diseño propio para caracterización de materiales.;medio (5-20);Ingenieros de innovación, diseño y procesos, equipo de I+D+i multidisciplinar. Directora de Ingeniería (Maite Agirrezabalaga). Equipos de caracterización de materiales y laboratorios propios.;98;Más del 2% de facturación destinado a innovación. Centro I+D propio en Idiazabal. Proyectos Hazitek (Gobierno Vasco): HPCVALVE (válvulas hipercéntricas) y AMPOAly (aleaciones CRA). Oficina de I+D en Suiza para transición energética e hidrógeno. Colaboración con centros de investigación internacionales.;B2B;Mundial;Sí, válvulas POYAM VALVES de alto valor tecnológico para servicios severos (temperaturas extremas, presiones altas, entornos corrosivos), componentes de fundición de acero inoxidable y alta aleación, soluciones ISS (Integrated Smart Solutions), servicios AMPO SERVICE (mantenimiento predictivo, asistencia técnica, formación);No cotiza;Cooperativa independiente — Gran grupo;alta;NIF F20 (cooperativa vasca). Según las pistas, AMPO salió de Mondragón en 2008 → no aplica categoría 3. Ventas 170M€ y 513 empleados superan umbrales de Gran grupo. → Cooperativa independiente — Gran grupo.;Campeona visible;alta;Confirmada INML por Orkestra. Cooperativa vasca independiente, líder mundial en válvulas de alto valor tecnológico para servicios severos (energía, minería). 98% exportación, B2B, fabricante, 7 patentes, centro I+D propio en Idiazabal y oficina I+D en Suiza, >2% I+D sobre facturación. 170M€, 513 empleados. Propiedad vasca cooperativa. Muy poco conocida fuera del sector energético.;True
